Date,Bullish,Neutral,Bearish,Spread,Spread_MA20,SP500_Price_x,SP500_Price_y,SP500_Price
2018-11-01,37.931,27.5862,34.482800000000005,3.448199999999993,4.114745000000002,2740.3701171875,2740.3701171875,2740.3701171875
2018-11-08,41.2844,27.5229,31.1927,10.091699999999996,3.992585000000002,2806.830078125,2806.830078125,2806.830078125
2018-11-15,35.0877,28.9474,35.9649,-0.877200000000002,4.566540000000002,2730.199951171875,2730.199951171875,2730.199951171875
2018-11-22,25.2525,27.6094,47.138000000000005,-21.885500000000004,4.043295000000001,2649.929931640625,2649.929931640625,2649.929931640625
2018-11-29,33.8816,26.6447,39.4737,-5.592100000000002,3.068775000000001,2737.800048828125,2737.800048828125,2737.800048828125
2018-12-06,37.9433,31.5603,30.4965,7.446800000000003,2.9548350000000014,2695.949951171875,2695.949951171875,2695.949951171875
2018-12-13,20.904,30.226,48.8701,-27.9661,1.3255550000000007,2650.5400390625,2650.5400390625,2650.5400390625
2018-12-20,24.8649,27.8378,47.2973,-22.4324,0.3521850000000004,2467.419921875,2467.419921875,2467.419921875
2018-12-27,31.5476,18.1548,50.2976,-18.75,-0.8517699999999996,2488.830078125,2488.830078125,2488.830078125
2019-01-03,33.0189,24.2138,42.767300000000006,-9.748400000000004,-1.6938,2447.889892578125,2447.889892578125,2447.889892578125
2019-01-10,38.4615,32.1678,29.370600000000003,9.090899999999998,-1.8090550000000003,2596.639892578125,2596.639892578125,2596.639892578125
2019-01-17,33.5347,30.2115,36.253800000000005,-2.7191000000000045,-2.9002950000000003,2635.9599609375,2635.9599609375,2635.9599609375
2019-01-24,37.659,30.0254,32.3155,5.343499999999999,-3.429415,2642.330078125,2642.330078125,2642.330078125
2019-01-31,31.7568,36.4865,31.7568,0.0,-3.392105000000001,2704.10009765625,2704.10009765625,2704.10009765625
2019-02-07,39.8734,37.341800000000006,22.7848,17.088599999999996,-2.5376750000000015,2706.050048828125,2706.050048828125,2706.050048828125
2019-02-14,35.1032,39.823,25.0737,10.029500000000002,-2.2921050000000007,2745.72998046875,2745.72998046875,2745.72998046875
2019-02-21,39.3189,35.2941,25.387,13.931900000000002,-2.6229050000000016,2774.8798828125,2774.8798828125,2774.8798828125
2019-02-28,41.6327,38.3673,20.0,21.6327,-1.2988500000000012,2784.489990234375,2784.489990234375,2784.489990234375
2019-03-07,37.386,35.8663,26.7477,10.6383,-0.7127800000000006,2748.929931640625,2748.929931640625,2748.929931640625
2019-03-14,32.4232,36.5188,31.058000000000003,1.365199999999998,0.006824999999999104,2808.47998046875,2808.47998046875,2808.47998046875
2019-03-21,37.3016,39.2857,23.4127,13.8889,0.5288599999999994,2854.8798828125,2854.8798828125,2854.8798828125
2019-03-28,33.2,39.6,27.200000000000003,6.0,0.32427499999999965,2815.43994140625,2815.43994140625,2815.43994140625
